"touchStart","touchEnd","touchX","touchY","question","touchType"
6823,9810,1182,1273,1,0
9810,10961,1979,1607,1,2
10961,12949,1989,1160,1,0
12949,13933,2009,1630,1,2
13933,14660,2831,1088,1,0
14660,15537,2023,1646,1,2
15537,16691,3660,3419,2,1
16691,19671,1988,898,2,0
19671,20825,1978,1543,2,2
20825,21456,1251,1043,2,0
21456,22383,2083,1557,2,2
22383,25581,2848,1039,2,0
25581,26364,2156,1578,2,2
26364,27214,3745,3421,3,1
27214,31847,2000,981,3,0
31847,33083,1976,1590,3,2
33083,33877,2822,994,3,0
33877,34944,2080,1636,3,2
34944,35482,1993,794,3,0
35482,40589,2014,1581,3,2
40589,41734,3704,3528,4,1
41734,46702,2018,1720,4,2
46702,47329,2352,2718,4,3
47329,56849,3984,0,4,2
56849,58721,1039,210,4,2
58721,58881,1028,238,4,2
58881,60047,2088,1736,4,2
