"touchStart","touchEnd","touchX","touchY","question","touchType"
6823,9810,1182,1273,1,0
9810,10961,1979,1607,1,2
10961,12949,1989,1160,1,0
12949,13933,2009,1630,1,2
13933,14660,2831,1088,1,0
14660,15537,2023,1646,1,2
15537,16691,3660,3419,2,1
16691,19671,1988,898,2,0
19671,20825,1978,1543,2,2
20825,21456,1251,1043,2,0
21456,22383,2083,1557,2,2
22383,22984,2848,1039,2,0
22984,23767,2156,1578,2,2
23767,24617,3745,3421,3,1
24617,29250,1168,981,3,0
29250,30486,1976,1590,3,2
30486,31280,2822,994,3,0
31280,32347,2080,1636,3,2
32347,32885,1993,794,3,0
32885,33652,2014,1581,3,2
33652,34797,3704,3528,4,1
34797,39765,2018,1720,4,2
39765,40392,2352,2718,4,3
40392,49912,3984,0,4,2
49912,51784,1039,210,4,2
51784,51944,1028,238,4,2
51944,53110,2088,1736,4,2
